Gen;	BestValidIndiv;	Len Train Valid;	Len Train Valid;	Len Train Valid;	Len Train Valid;	Len Train Valid;	Len Train Valid;	
17500;	57 0.139997 0.146613;	51 0.139997 0.146613;	53 0.140054 0.152825;	52 0.140114 0.152825;	47 0.140121 0.152825;	52 0.140223 0.151218;	58 0.140277 0.152825;	
20000;	55 0.137618 0.141922;	57 0.137377 0.14295;	58 0.137611 0.141947;	55 0.137618 0.141922;	53 0.137718 0.154946;	58 0.137866 0.155393;	50 0.137869 0.147403;	
22500;	57 0.137215 0.138305;	51 0.136061 0.14479;	53 0.13614 0.144409;	50 0.136216 0.145024;	50 0.136224 0.14478;	52 0.136245 0.144947;	51 0.136245 0.144745;	
25000;	57 0.137215 0.138305;	45 0.13599 0.144563;	45 0.13602 0.144285;	47 0.136035 0.144786;	55 0.136051 0.144251;	52 0.136058 0.14478;	43 0.136061 0.14479;	
27500;	49 0.136991 0.137981;	54 0.135733 0.144385;	51 0.135882 0.144564;	51 0.135947 0.144708;	42 0.13599 0.144563;	42 0.13602 0.144285;	46 0.136034 0.1445;	
30000;	49 0.136991 0.137981;	57 0.135623 0.144521;	46 0.135624 0.144334;	54 0.135655 0.144524;	52 0.13566 0.144383;	48 0.135661 0.144304;	55 0.135675 0.144369;	
32500;	54 0.125332 0.131254;	54 0.125332 0.131254;	54 0.125653 0.141363;	56 0.125713 0.141363;	50 0.126248 0.141363;	55 0.126359 0.141363;	52 0.12716 0.13373;	
35000;	52 0.117503 0.117949;	50 0.117503 0.117949;	52 0.117621 0.118229;	48 0.117653 0.118229;	50 0.117724 0.118229;	49 0.1178 0.118229;	53 0.11787 0.121284;	
37500;	55 0.111657 0.110852;	55 0.111657 0.110852;	55 0.112728 0.1192;	56 0.112933 0.120391;	55 0.113146 0.120275;	55 0.113185 0.119014;	52 0.113399 0.118841;	
40000;	60 0.105782 0.106005;	60 0.105782 0.106005;	56 0.105905 0.107566;	60 0.105908 0.110786;	57 0.105987 0.109002;	55 0.106096 0.110966;	57 0.10613 0.109158;	
42500;	61 0.104286 0.105321;	61 0.104286 0.105321;	55 0.104317 0.110837;	56 0.104419 0.112435;	56 0.104439 0.109021;	64 0.104549 0.110097;	59 0.104593 0.105923;	
45000;	58 0.104198 0.105039;	52 0.104198 0.105039;	54 0.104263 0.105923;	51 0.104286 0.105923;	53 0.104317 0.105923;	53 0.104419 0.105923;	51 0.104439 0.105923;	
47500;	58 0.104198 0.105039;	56 0.103968 0.11304;	49 0.104198 0.105039;	49 0.104263 0.105923;	49 0.104286 0.105923;	48 0.104317 0.105923;	48 0.104337 0.105923;	
50000;	53 0.0991656 0.100841;	53 0.0985514 0.106198;	53 0.0991656 0.100841;	58 0.0991904 0.105131;	64 0.0992045 0.11254;	57 0.0992665 0.106641;	53 0.0993035 0.105226;	
52500;	57 0.095698 0.0948143;	49 0.0948036 0.100792;	53 0.0951603 0.107521;	57 0.0953459 0.0994381;	54 0.0955459 0.100685;	57 0.095698 0.0948143;	58 0.095716 0.106703;	
55000;	57 0.095698 0.0948143;	61 0.0936643 0.108374;	50 0.0938201 0.10838;	54 0.0939624 0.107567;	53 0.0939706 0.104562;	51 0.0943861 0.103981;	51 0.0944728 0.101613;	
57500;	57 0.095698 0.0948143;	51 0.0935549 0.107814;	49 0.0935845 0.107449;	53 0.0935922 0.108257;	54 0.0936268 0.108321;	51 0.0936643 0.108374;	55 0.0937055 0.108348;	
60000;	57 0.095698 0.0948143;	48 0.0932904 0.10746;	51 0.0933656 0.108119;	48 0.0935549 0.107814;	48 0.0935845 0.107449;	48 0.0935922 0.108257;	49 0.0936094 0.106511;	
62500;	57 0.095698 0.0948143;	47 0.0932904 0.10746;	49 0.0933574 0.107915;	49 0.0933656 0.108119;	47 0.0934561 0.108003;	46 0.0935549 0.107814;	46 0.0935845 0.107449;	
65000;	57 0.095698 0.0948143;	47 0.0932904 0.10746;	49 0.0933574 0.107915;	48 0.0933656 0.108119;	46 0.0934561 0.108003;	46 0.0935549 0.107814;	45 0.0935845 0.107449;	
67500;	57 0.095698 0.0948143;	47 0.0932904 0.10746;	49 0.0933574 0.107915;	48 0.0933656 0.108119;	46 0.0934561 0.108003;	45 0.0935549 0.107814;	45 0.0935845 0.107449;	
70000;	57 0.095698 0.0948143;	47 0.0932904 0.10746;	49 0.0933574 0.107915;	48 0.0933656 0.108119;	46 0.0934561 0.108003;	44 0.0935549 0.107814;	45 0.0935845 0.107449;	
72500;	57 0.095698 0.0948143;	57 0.095698 0.0948143;	96 0.354127 0.107449;	115 0.376677 0.107449;	101 0.47304 0.107449;	120 0.493475 0.107449;	117 0.59377 0.107449;	
75000;	57 0.095698 0.0948143;	57 0.095698 0.0948143;	60 0.15248 0.107449;	65 0.160931 0.107449;	61 0.161526 0.107449;	63 0.167868 0.107449;	67 0.173419 0.107449;	
77500;	57 0.095698 0.0948143;	57 0.095698 0.0948143;	59 0.0984899 0.107449;	64 0.0987672 0.107449;	62 0.101223 0.107449;	58 0.105617 0.107449;	58 0.107965 0.107449;	
80000;	57 0.095698 0.0948143;	60 0.0948036 0.100792;	59 0.0948346 0.103505;	60 0.0952371 0.0964754;	62 0.0952756 0.101422;	59 0.0956758 0.0972314;	57 0.095698 0.0948143;	
82500;	65 0.0949311 0.094128;	59 0.0945869 0.102706;	57 0.0948036 0.100792;	59 0.0948346 0.103505;	57 0.0949311 0.094128;	59 0.0951131 0.100245;	60 0.0951559 0.100245;	
85000;	65 0.0949311 0.094128;	60 0.094006 0.101073;	58 0.0945869 0.102706;	62 0.0947324 0.103079;	62 0.0947332 0.102841;	56 0.0948036 0.100792;	59 0.0948303 0.100872;	
87500;	64 0.0941097 0.0927;	61 0.0916706 0.0986734;	60 0.0922377 0.100499;	64 0.0922851 0.1002;	63 0.0923368 0.0982195;	61 0.0924115 0.0986999;	59 0.0926157 0.100902;	
90000;	62 0.091005 0.0906467;	63 0.0898885 0.095741;	68 0.0900167 0.0949767;	61 0.0901216 0.0960699;	65 0.0901218 0.0960514;	64 0.0901544 0.0961518;	67 0.0901625 0.0989898;	
92500;	66 0.0905765 0.0900356;	69 0.0885474 0.0965057;	62 0.0885533 0.0964901;	62 0.0886092 0.0965928;	65 0.0886096 0.0965997;	63 0.0886128 0.0963049;	60 0.0886195 0.0966205;	
95000;	65 0.08814 0.0894391;	65 0.08814 0.0894391;	64 0.0883502 0.0963976;	62 0.0884167 0.0908188;	70 0.0884792 0.0908496;	64 0.0884899 0.0908127;	71 0.0884928 0.0963361;	
97500;	68 0.0811837 0.078988;	68 0.0811837 0.078988;	71 0.0846571 0.0865129;	72 0.0855247 0.0963361;	69 0.0862051 0.0963361;	68 0.0880438 0.0891995;	66 0.0880902 0.089074;	
